"","...1","post_id","post_created","post_text","user_id","followers","friends","favourites","statuses","retweets","label"
"1",0,637894677824413696,"Sun Aug 30 07:48:37 +0000 2015","its just over years since i was diagnosed with anxiety and depression today im taking a moment to reflect on how far ive come since",1013187241,84,211,251,837,0,1
"2",1,637890384576778240,"Sun Aug 30 07:31:33 +0000 2015","its sunday i need a break so im planning to spend as little time as possible on the a",1013187241,84,211,251,837,1,1
"3",2,637749345908051968,"Sat Aug 29 22:11:07 +0000 2015","awake but tired i need to sleep but my brain has other ideas",1013187241,84,211,251,837,0,1
"4",3,637696421077123072,"Sat Aug 29 18:40:49 +0000 2015","retro bears make perfect gifts and are great for beginners too get stitching with octobers sew on sale now yay",1013187241,84,211,251,837,2,1
"5",4,637696327485366272,"Sat Aug 29 18:40:26 +0000 2015","its hard to say whether packing lists are making life easier or just reinforcing how much still needs doing movinghouse anxiety",1013187241,84,211,251,837,1,1
"6",5,637692793083817984,"Sat Aug 29 18:26:24 +0000 2015","making packing lists is my new hobby movinghouse",1013187241,84,211,251,837,1,1
"7",6,637691649943072768,"Sat Aug 29 18:21:51 +0000 2015","at what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding movinghouse",1013187241,84,211,251,837,1,1
"8",7,637689418472652800,"Sat Aug 29 18:12:59 +0000 2015","currently in the findingboxesofrandomshit packing phase i think im a closet hoarder",1013187241,84,211,251,837,0,1
"9",8,637687177946734592,"Sat Aug 29 18:04:05 +0000 2015","cant be bothered to cook take away on the way lazy",1013187241,84,211,251,837,0,1
"10",9,637684866906255360,"Sat Aug 29 17:54:54 +0000 2015","itv releases promo video for the final series of downton abbey",1013187241,84,211,251,837,41,1
"11",10,637684675557896192,"Sat Aug 29 17:54:08 +0000 2015","also i have too much stuff way way too much movinghouse",1013187241,84,211,251,837,1,1
"12",11,637684322078707712,"Sat Aug 29 17:52:44 +0000 2015","i never want to put one of these together again lotharderthanitlooks",1013187241,84,211,251,837,0,1
"13",12,637555158440902656,"Sat Aug 29 09:19:29 +0000 2015","moving stuff is bloomin knackering and theres still loads to do",1013187241,84,211,251,837,0,1
"14",13,637550791847510016,"Sat Aug 29 09:02:08 +0000 2015","back at the house moving stuff its so peaceful here i",1013187241,84,211,251,837,0,1
"15",14,637314209559281664,"Fri Aug 28 17:22:02 +0000 2015","urgh anxiety ffs where does it come from breathe",1013187241,84,211,251,837,0,1
"16",15,637310611244892160,"Fri Aug 28 17:07:45 +0000 2015","i have too much stuff way way too much massive purge on the way",1013187241,84,211,251,837,0,1
"17",16,637224036918013952,"Fri Aug 28 11:23:44 +0000 2015","hideous traffic on the a must remember to pay closer attention to the traffic reports",1013187241,84,211,251,837,0,1
"18",17,637208158553931776,"Fri Aug 28 10:20:38 +0000 2015","packing and purging feels good",1013187241,84,211,251,837,0,1
"19",18,637181954975252480,"Fri Aug 28 08:36:30 +0000 2015","in bampq looking at internal doors fun times",1013187241,84,211,251,837,0,1
"20",19,637145132949766144,"Fri Aug 28 06:10:11 +0000 2015","time to get up so many things to do such a busy day ahead",1013187241,84,211,251,837,0,1
"21",20,637133358812778496,"Fri Aug 28 05:23:24 +0000 2015","its do i get up or lie here a little longer with my cat buddy",1013187241,84,211,251,837,0,1
"22",21,637132570354950144,"Fri Aug 28 05:20:16 +0000 2015","theres nothing like cocktails and exhaustion to aid a good nights sleep",1013187241,84,211,251,837,0,1
"23",22,636996790693269504,"Thu Aug 27 20:20:44 +0000 2015","great night out with my favourite ladies much needed after the past few days i love them so much",1013187241,84,211,251,837,0,1
"24",23,636603948711956480,"Wed Aug 26 18:19:43 +0000 2015","sat down on the sofa for a quick rest an hour ago need to move",1013187241,84,211,251,837,0,1
"25",24,636562582321635328,"Wed Aug 26 15:35:21 +0000 2015","how much do i want pizza right now",1013187241,84,211,251,837,0,1
"26",25,636443677511057408,"Wed Aug 26 07:42:51 +0000 2015","i will always love youpeter gabriel in your eyes",1013187241,84,211,251,837,0,1
"27",26,636441987101655040,"Wed Aug 26 07:36:08 +0000 2015","such a busy day ahead i need to focus but im feeling on the edge of derailment right now",1013187241,84,211,251,837,0,1
"28",27,636439953547882496,"Wed Aug 26 07:28:04 +0000 2015","even now the smallest thing still makes my heabreak i doesnt feel like that ever goes away",1013187241,84,211,251,837,0,1
"29",28,636429433415581696,"Wed Aug 26 06:46:15 +0000 2015","why is choosing a curtain pole suddenly so confusing too many choices and yes i know this isnt a real problem",1013187241,84,211,251,837,0,1
"30",29,636242913916264448,"Tue Aug 25 18:25:06 +0000 2015","completed on my house got the keys what a fab day whoop",1013187241,84,211,251,837,0,1
"31",30,636090260187910144,"Tue Aug 25 08:18:30 +0000 2015","hi could you retweet our long stayers sammy and suki photographed them todaybuckscatsorguk http",1013187241,84,211,251,837,70,1
"32",31,636050135546494976,"Tue Aug 25 05:39:04 +0000 2015","big day today",1013187241,84,211,251,837,0,1
"33",32,635927041955766272,"Mon Aug 24 21:29:56 +0000 2015","how lovely pandastory",1013187241,84,211,251,837,0,1
